,NOMBREDD,NOMBREPV,NOMBREDI,CONGLOMERADO,NSELUA,UA,percentSoldProduction,percentFarmGateIncomes,percentPlantedArea,districtTimeToLimaMarket,districtTimeToProvinceCapitalOfRegion,provinceCapitalToLimaMarket,informalPriceInformation,formalPriceInformation,informalMetereologicalInformation,formalMetereologicalInformation,volumeOfDistrict,soldProduction,yield,associative,pointsOfSale,marketSize,marketChannelDirectedness,farmGatePricePerKg
27,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,5260,109,12,0.78125,0.3186582809224319,0.7575757575757576,1.7600000000000002,0.258,2.03,0,0,0,0,0.00265,0.009000000000000001,1.0,0.0,0.87,1,3,1.52
28,AMAZONAS,UTCUBAMBA,CUMBA,5214,2,1,0.5,0.52,0.22222222222222224,1.83,0.387,2.03,0,0,0,0,0.002,0.001,1.375,0.0,0.05,1,2,1.3
29,AMAZONAS,UTCUBAMBA,CUMBA,5214,63,10,0.4390243902439024,0.19014084507042253,0.12500000000000006,1.83,0.387,2.03,0,0,0,0,0.002,0.009000000000000001,1.0,0.0,0.05,1,4,0.9
30,AMAZONAS,UTCUBAMBA,CUMBA,5214,87,13,0.75,0.6889952153110048,0.07407407407407407,1.83,0.387,2.03,0,0,0,0,0.002,0.0015,1.25,0.0,0.05,1,2,0.96
31,AMAZONAS,UTCUBAMBA,CUMBA,5223,45,6,0.6666666666666666,0.5588235294117647,0.4,1.83,0.387,2.03,0,0,0,0,0.002,0.006,0.5,0.0,0.05,1,3,1.9
32,ANCASH,ASUNCION,ACOCHACA,9147,37,8,1.0,1.0,0.6666666666666666,0.972,0.303,0.6769999999999999,0,0,0,0,0.000144,0.00144,4.8e-05,0.0,0.0,1,4,0.8333333333333334
33,ANCASH,CARHUAZ,ACOPAMPA,9067,60,10,0.4658901830282862,0.22922636103151864,0.2581755593803787,0.757,0.067,0.6769999999999999,1,1,0,0,0.00014,0.0014,0.00018666666666666666,0.0,0.0,1,4,0.5714285714285714
34,ANCASH,CARHUAZ,AMASHCA,8995,19,3,1.0,1.0,1.0,0.7879999999999999,0.108,0.6769999999999999,0,0,0,0,0.000648,0.00288,0.00012,0.0,0.0,1,1,0.4166666666666667
35,ANCASH,CARHUAZ,AMASHCA,8995,91,10,0.8571428571428571,0.7826086956521741,0.5,0.7879999999999999,0.108,0.6769999999999999,0,0,0,0,0.000648,0.00072,4.114285714285714e-05,0.0,0.0,1,2,1.5
36,ANCASH,CARHUAZ,AMASHCA,8995,101,11,1.0,1.0,0.7121212121212122,0.7879999999999999,0.108,0.6769999999999999,1,0,0,0,0.000648,0.00216,0.00012255319148936166,0.0,0.0,1,1,1.5
37,ANCASH,CARHUAZ,AMASHCA,8995,114,12,1.0,1.0,0.4770642201834863,0.7879999999999999,0.108,0.6769999999999999,1,0,0,0,0.000648,0.00072,5.5384615384615394e-05,0.0,0.0,1,1,0.3472222222222222
38,ANCASH,CARHUAZ,CARHUAZ,9045,95,9,0.7826086956521741,0.33962264150943394,0.18181818181818185,0.763,0.075,0.6769999999999999,0,0,0,0,0.000144,0.00144,0.000108,0.0,0.0,1,4,1.0
39,ANCASH,CARHUAZ,MARCARA,9089,35,2,1.0,1.0,0.42857142857142855,0.75,0.058,0.6769999999999999,0,0,0,0,0.004032,0.00216,0.000216,0.0,0.0,1,4,0.5555555555555556
40,ANCASH,CARHUAZ,MARCARA,9089,107,6,0.7486075009283327,0.8210526315789474,0.3896103896103896,0.75,0.058,0.6769999999999999,0,0,0,0,0.004032,0.01008,0.00012,0.0,0.0,1,4,1.5
41,ANCASH,CARHUAZ,MARCARA,9089,269,13,0.5015923566878981,0.21212121212121213,0.18181818181818185,0.75,0.058,0.6769999999999999,1,1,0,0,0.004032,0.0252,0.000216,0.0,0.0,1,4,0.4166666666666667
42,ANCASH,CARHUAZ,MARCARA,9093,5,1,1.0,1.0,0.4,0.75,0.058,0.6769999999999999,0,0,0,0,0.004032,0.00144,7.92e-05,0.0,0.0,1,4,0.8333333333333334
43,ANCASH,CARHUAZ,MARCARA,9093,96,12,0.4897959183673469,0.5714285714285714,0.2,0.75,0.058,0.6769999999999999,0,0,0,0,0.004032,0.00144,8.640000000000001e-05,0.0,0.0,1,4,0.6944444444444444
