,NOMBREDD,NOMBREPV,NOMBREDI,CONGLOMERADO,NSELUA,UA,percentSoldProduction,percentFarmGateIncomes,percentPlantedArea,districtTimeToLimaMarket,districtTimeToProvinceCapitalOfRegion,provinceCapitalToLimaMarket,informalPriceInformation,formalPriceInformation,informalMetereologicalInformation,formalMetereologicalInformation,volumeOfDistrict,soldProduction,yield,associative,pointsOfSale,marketSize,marketChannelDirectedness,farmGatePricePerKg
83,CAJAMARCA,CUTERVO,CUTERVO,2446,25,4,1.0,1.0,1.0,1.6,0.4980000000000001,1.47,1,0,0,0,0.16949,0.08800000000000001,1.28,0.0,1.05,1,2,1.375
84,CAJAMARCA,CUTERVO,CUTERVO,2446,49,6,1.0,1.0,0.9976525821596244,1.6,0.4980000000000001,1.47,1,0,0,0,0.16949,0.0904,1.2611764705882351,0.0,1.05,1,2,2.125
85,CAJAMARCA,CUTERVO,CUTERVO,2569,40,5,1.0,1.0,0.5747126436781609,1.6,0.4980000000000001,1.47,1,0,1,0,0.16949,0.09,3.0,0.0,1.05,2,3,0.9
86,CAJAMARCA,CUTERVO,CUTERVO,2569,41,6,1.0,1.0,1.0,1.6,0.4980000000000001,1.47,1,0,1,0,0.16949,0.078,2.25,0.0,1.05,2,3,0.45
87,CAJAMARCA,HUALGAYOC,CHUGUR,3067,72,9,1.0,1.0,1.0,1.56,0.302,1.47,0,0,0,0,0.010346,0.065,1.25,0.0,0.0,2,2,1.0
88,CUSCO,ANTA,LIMATAMBO,15547,48,7,0.9370816599732262,0.8755472170106317,1.0,1.89,0.17300000000000001,2.06,0,0,1,1,0.06762,0.07,0.8,0.0,0.0,2,2,1.0
89,CUSCO,ANTA,MOLLEPATA,15545,8,1,0.10810009110748564,0.039784075573549266,0.25,1.92,0.29700000000000004,2.06,1,1,0,0,0.005922,0.051019999999999996,1.1504,0.0,0.0,2,3,1.300078400627205
90,CUSCO,PARURO,HUANOQUITE,16238,17,2,0.9625668449197858,0.8837760910815939,0.6972477064220183,2.17,0.155,2.06,1,0,0,0,0.03228,0.0828,1.2631578947368425,0.0,0.0,1,3,0.9
91,CUSCO,PARURO,PACCARITAMBO,16267,34,6,0.9826589595375722,0.9807692307692308,0.8571428571428571,2.22,0.16799999999999998,2.06,1,1,0,0,0.00878,0.068,0.17,0.0,0.0,1,4,1.5
92,CUSCO,URUBAMBA,CHINCHERO,15780,94,12,0.8571428571428571,0.8076923076923077,0.38461538461538464,2.04,0.078,2.06,0,0,0,0,0.041995,0.06,0.00014,1.0,0.0,1,1,0.7
93,CUSCO,URUBAMBA,OLLANTAYTAMBO,15695,61,8,0.5702364394993046,0.4275773667826405,0.5178399228543876,2.06,0.155,2.06,0,0,1,1,0.0091775,0.08199999999999999,0.00017587419822056693,0.0,0.3,1,2,2.2
94,HUANCAVELICA,ANGARAES,SECCLLA,13263,50,7,0.5868544600938967,0.3213367609254499,0.4272237196765499,0.885,0.28800000000000003,0.602,1,0,0,0,0.01272,0.05,0.5678233438485804,0.0,0.0,3,2,0.6
95,HUANCAVELICA,CHURCAMPA,COSME,13050,71,8,0.8524590163934426,0.7482014388489209,0.3286908077994429,0.903,0.338,0.602,1,0,1,0,0.018563999999999997,0.078,0.00013559322033898302,0.0,0.0,2,1,1.8
96,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,13418,40,4,0.9727626459143968,0.9337068160597572,0.9328358208955224,0.5980000000000001,0.0,0.602,1,0,0,0,0.005,0.05,0.000134,0.0,0.33,1,3,1.0
97,HUANCAVELICA,HUAYTARA,PILPICHACA,13498,81,10,0.7692307692307693,0.5714285714285714,0.3076923076923077,0.62,0.18,0.602,0,0,0,0,0.006999999999999999,0.07,4.2,1.0,0.0,1,4,0.4
