,NOMBREDD,NOMBREPV,NOMBREDI,CONGLOMERADO,NSELUA,UA,percentSoldProduction,percentFarmGateIncomes,percentPlantedArea,districtTimeToLimaMarket,districtTimeToProvinceCapitalOfRegion,provinceCapitalToLimaMarket,informalPriceInformation,formalPriceInformation,informalMetereologicalInformation,formalMetereologicalInformation,volumeOfDistrict,soldProduction,yield,associative,pointsOfSale,marketSize,simplifiedMarketChannelDirectedness,farmGatePricePerKg
119,CUSCO,URUBAMBA,CHINCHERO,15780,61,8,1.0,1.0,0.6390532544378699,2.04,0.078,2.06,0,0,0,0,0.041995,0.166,0.00017037037037037034,0.0,0.0,1,1,2.1
120,CUSCO,URUBAMBA,CHINCHERO,15780,113,13,1.0,1.0,1.0,2.04,0.078,2.06,0,0,1,1,0.041995,0.10395,0.3391666666666667,0.0,0.0,1,2,1.5454545454545454
121,HUANCAVELICA,ACOBAMBA,CAJA,13215,126,12,0.8286140089418778,0.5977851843887754,0.4680851063829787,0.9670000000000001,0.278,0.602,1,0,0,0,0.01112,0.1112,0.636,0.0,0.0,1,1,0.5
122,HUANCAVELICA,ANGARAES,CALLANMARCA,13237,33,5,0.7446808510638298,0.5980739989863153,0.5851593625498008,0.853,0.255,0.602,1,1,0,0,0.01568,0.147,0.3097872340425532,1.0,0.0,1,2,4.2
123,HUANCAVELICA,HUANCAVELICA,ACORIA,13373,81,9,0.8606195201101593,0.7571008342576072,0.35294117647058826,0.738,0.13799999999999998,0.602,1,0,0,0,0.02992,0.16399999999999998,0.4,0.0,0.0,2,2,1.5
124,HUANCAVELICA,TAYACAJA,COLCABAMBA,12953,63,5,0.5170940170940171,0.2360172095881992,0.3333333333333333,0.8300000000000001,0.4,0.602,0,0,0,0,0.26055,0.121,1.2666666666666664,0.0,0.02,2,2,2.3
125,HUANCAVELICA,TAYACAJA,COLCABAMBA,12972,14,1,0.9977890992982792,0.991617538688283,0.9711516270482344,0.8300000000000001,0.4,0.602,1,0,0,0,0.26055,0.2076,0.6392585551330798,0.0,0.02,2,1,3.0
126,HUANCAVELICA,TAYACAJA,COLCABAMBA,12972,20,2,0.9739130434782608,0.9227600411946448,0.6355932203389831,0.8300000000000001,0.4,0.602,1,0,0,0,0.26055,0.11199999999999999,1.9866666666666668,0.0,0.02,2,1,1.3
127,HUANCAVELICA,TAYACAJA,COLCABAMBA,12972,60,6,0.946808510638298,0.8894601542416453,0.713302752293578,0.8300000000000001,0.4,0.602,1,0,0,0,0.26055,0.17800000000000002,1.0289389067524115,0.0,0.02,1,1,1.6
128,HUANCAVELICA,TAYACAJA,COLCABAMBA,12972,75,9,0.936088623775032,0.8604001861330851,0.9435155896972436,0.8300000000000001,0.4,0.602,1,0,0,0,0.26055,0.2197,0.6082375478927202,0.0,0.02,2,1,4.2
129,HUANCAVELICA,TAYACAJA,COLCABAMBA,12972,94,11,0.6356275303643725,0.4118878191712013,0.536097212294496,0.8300000000000001,0.4,0.602,0,0,0,0,0.26055,0.314,0.6666666666666667,0.0,0.02,2,1,1.25
130,HUANCAVELICA,TAYACAJA,COLCABAMBA,12972,114,14,1.0,1.0,1.0,0.8300000000000001,0.4,0.602,0,0,0,0,0.26055,0.11,0.4336882865440464,0.0,0.02,2,1,4.775
131,HUANCAVELICA,TAYACAJA,COLCABAMBA,12978,126,13,0.9541284403669724,0.928735632183908,0.7919725893294174,0.8300000000000001,0.4,0.602,1,1,0,0,0.26055,0.13,0.8034610630407911,0.0,0.02,1,1,1.5
132,HUANCAVELICA,TAYACAJA,COLCABAMBA,12978,132,14,0.9192825112107624,0.8717948717948718,0.5786375105130361,0.8300000000000001,0.4,0.602,1,0,0,0,0.26055,0.205,0.8684593023255813,0.0,0.02,2,1,1.9
133,HUANCAVELICA,TAYACAJA,HUARIBAMBA,12990,38,6,0.6288302691180389,0.3982002249718785,0.4270849510793601,0.6900000000000001,0.29300000000000004,0.602,0,0,0,0,0.0336,0.23600000000000002,0.4909090909090909,0.0,0.0,2,1,0.3
134,HUANUCO,HUAMALIES,LLATA,9728,58,8,0.9049671127239736,0.8867084766336233,0.8447204968944099,0.877,0.4320000000000001,0.82,0,0,0,0,0.08241,0.39899999999999997,1.323529411764706,0.0,0.12,2,1,2.025
135,HUANUCO,HUANUCO,CHINCHAO,10008,47,5,0.44642857142857145,0.3944773175542407,0.18604651162790686,1.01,0.183,0.82,0,0,0,0,0.367135,0.4,4.0,0.0,0.09,3,1,1.0
136,HUANUCO,HUANUCO,CHINCHAO,10008,97,11,1.0,1.0,1.0,1.01,0.183,0.82,1,1,1,1,0.367135,0.2984,1.28,0.0,0.09,3,1,1.1875
137,HUANUCO,HUANUCO,CHINCHAO,10024,117,5,1.0,1.0,1.0,1.01,0.183,0.82,1,0,0,0,0.367135,0.196,2.3236923076923084,1.0,0.09,1,2,0.875
138,HUANUCO,HUANUCO,CHINCHAO,10024,141,6,0.6862745098039216,0.6183745583038869,0.4854368932038835,1.01,0.183,0.82,1,1,1,1,0.367135,0.1575,3.6,0.0,0.09,3,1,0.8888888888888888
139,HUANUCO,HUANUCO,CHINCHAO,10024,235,11,0.4280821917808219,0.2359742788036104,0.3076923076923077,1.01,0.183,0.82,1,0,1,0,0.367135,0.1,2.44,0.0,0.09,3,1,0.8
140,HUANUCO,HUANUCO,CHINCHAO,10024,263,12,0.818815331010453,0.8105765062852189,0.4705882352941176,1.01,0.183,0.82,1,1,0,0,0.367135,0.47,3.06,0.0,0.09,3,1,2.2
141,HUANUCO,HUANUCO,CHINCHAO,10025,52,6,0.9219079955281356,0.7797778628877825,0.6421319796954315,1.01,0.183,0.82,0,0,0,0,0.367135,0.22265,0.6027667984189723,0.0,0.09,2,1,3.350065231572081
142,HUANUCO,HUANUCO,CHINCHAO,10025,71,8,0.8105872622001654,0.4633546483030005,0.631578947368421,1.01,0.183,0.82,0,0,0,0,0.367135,0.196,0.4733333333333333,0.0,0.09,2,1,1.9
143,HUANUCO,HUANUCO,CHINCHAO,10025,88,9,0.8312958435207825,0.6771565046361337,0.5,1.01,0.183,0.82,0,0,0,0,0.367135,0.17,0.76,0.0,0.09,2,1,1.55
144,HUANUCO,HUANUCO,CHINCHAO,10025,90,10,0.5591882750845547,0.4144144144144144,0.3981481481481481,1.01,0.183,0.82,0,0,0,0,0.367135,0.496,1.2790697674418603,0.0,0.09,2,1,2.6
145,HUANUCO,HUANUCO,CHINCHAO,10025,92,11,0.9790209790209792,0.9395973154362416,0.8,1.01,0.183,0.82,0,0,0,0,0.367135,0.11199999999999999,0.6,0.0,0.09,2,1,0.4
146,HUANUCO,HUANUCO,HUANUCO,10108,65,8,0.8597748208802457,0.6059776079957716,0.4556962025316456,0.8300000000000001,0.0,0.82,1,0,0,0,0.021,0.21,2.444444444444444,0.0,0.64,1,1,0.6005238095238096
147,HUANUCO,PACHITEA,PANAO,9968,44,8,0.8229915088177662,0.8458311869894768,0.5838847800700662,1.0,0.17300000000000001,0.82,1,0,0,0,1.2179799999999998,0.441,3.266666666666667,0.0,0.04,3,1,2.9
148,HUANUCO,PACHITEA,PANAO,9968,70,12,0.9863636363636364,0.9779179810725552,0.4545454545454545,1.0,0.17300000000000001,0.82,1,0,0,0,1.2179799999999998,0.217,5.4,0.0,0.04,1,1,1.0
149,HUANUCO,PACHITEA,PANAO,9972,8,1,0.9790660225442834,0.9293083683607184,0.4444444444444444,1.0,0.17300000000000001,0.82,1,0,0,0,1.2179799999999998,0.608,4.0,0.0,0.04,2,1,0.4
150,HUANUCO,PACHITEA,PANAO,9972,23,2,1.0,1.0,1.0,1.0,0.17300000000000001,0.82,1,0,0,0,1.2179799999999998,0.322,0.875,0.0,0.04,3,1,0.6
151,HUANUCO,PACHITEA,PANAO,9972,26,3,0.98718557190318,0.9650224215246636,0.9,1.0,0.17300000000000001,0.82,0,0,0,0,1.2179799999999998,0.8320000000000001,1.0133333333333334,0.0,0.04,1,1,0.775
