,NOMBREDD,NOMBREPV,NOMBREDI,CONGLOMERADO,NSELUA,UA,percentSoldProduction,percentFarmGateIncomes,percentPlantedArea,districtTimeToLimaMarket,districtTimeToProvinceCapitalOfRegion,provinceCapitalToLimaMarket,informalPriceInformation,formalPriceInformation,informalMetereologicalInformation,formalMetereologicalInformation,volumeOfDistrict,soldProduction,yield,associative,pointsOfSale,marketSize,localMarketChannelDirectedness,farmGatePricePerKg
0,AMAZONAS,CHACHAPOYAS,LA JALCA,5517,113,13,0.30435841246652057,0.3510716925351072,0.125,2.17,0.183,2.03,0,0,0,0,0.0116,0.05,1.17,0.0,0.0,2,1.0,1.9
1,AMAZONAS,CHACHAPOYAS,LEVANTO,5507,61,9,0.9505703422053232,0.9880028228652082,0.5813953488372092,2.14,0.098,2.03,0,0,0,0,0.01024,0.0875,1.95,1.0,0.0,2,2.0,0.8
2,AMAZONAS,LUYA,CONILA,5413,14,2,1.0,1.0,1.0,2.12,0.52,2.03,1,0,0,0,0.04805,0.06,1.4,0.0,0.0,2,2.0,0.8
3,AMAZONAS,LUYA,LAMUD,5425,62,10,0.7838867719107242,0.7051633628457259,0.5,2.1,0.12,2.03,0,0,0,0,0.0364,0.09,1.05,0.0,0.0,2,2.0,1.0
4,AMAZONAS,LUYA,LUYA,5430,14,1,1.0,1.0,1.0,2.18,0.092,2.03,1,0,0,0,0.05025,0.0675,1.6,0.0,0.0,2,2.0,0.52
5,AMAZONAS,LUYA,LUYA,5430,87,8,0.6451612903225806,0.6993006993006993,0.6818181818181818,2.18,0.092,2.03,0,0,0,0,0.05025,0.05,1.6666666666666667,0.0,0.0,2,2.0,1.0
6,AMAZONAS,LUYA,LUYA,5430,115,11,0.4482758620689655,0.18840579710144928,0.5555555555555556,2.18,0.092,2.03,1,0,0,0,0.05025,0.065,1.6,0.0,0.0,2,2.0,0.4
7,AMAZONAS,LUYA,SAN JERÓNIMO,5422,36,4,0.9427275304791608,0.8598598598598599,0.5625,2.07,0.188,2.03,1,1,0,0,0.00665,0.0665,2.155555555555556,0.0,0.0,2,2.0,1.9
8,APURIMAC,ABANCAY,HUANIPACA,14983,97,12,0.992063492063492,0.9375,0.7317073170731707,1.84,0.187,1.65,1,0,0,0,0.05807999999999999,0.05,2.333333333333333,0.0,0.0,2,2.0,1.2
9,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,14781,71,11,0.8333333333333334,0.6129032258064516,0.5625,1.33,0.312,1.65,1,1,0,0,0.1594035,0.07200000000000001,2.0,0.0,1.52,1,2.0,1.2888888888888888
10,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,14795,79,10,0.9287531806615776,0.6616825252982933,0.4984025559105432,1.33,0.312,1.65,1,0,0,0,0.1594035,0.073,1.1538461538461535,0.0,1.52,1,2.0,1.3199999999999998
11,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,14798,70,11,0.564622641509434,0.4923300500565154,0.4764705882352941,1.33,0.312,1.65,1,0,0,0,0.1594035,0.05985,1.2314814814814814,1.0,1.52,2,1.0,1.0210526315789474
12,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,14799,76,10,0.8287869994196171,0.3796004206098844,0.4444444444444445,1.33,0.312,1.65,1,1,0,0,0.1594035,0.0714,1.1,1.0,1.52,1,2.0,1.0625
13,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,14799,108,14,1.0,1.0,1.0,1.33,0.312,1.65,1,0,0,0,0.1594035,0.08061499999999999,1.058,0.0,1.52,2,1.0,0.7827921482296827
14,APURIMAC,ANDAHUAYLAS,HUANCARAMA,14678,103,8,0.7180156657963447,0.7635467980295566,0.7142857142857143,1.54,0.102,1.65,1,0,0,0,0.014325,0.055,0.172,0.0,0.07,1,2.0,1.53
15,APURIMAC,ANDAHUAYLAS,HUANCARAMA,14678,148,12,1.0,1.0,0.9580838323353292,1.54,0.102,1.65,1,0,0,0,0.014325,0.08125,1.2575,0.0,0.07,1,2.0,1.3961956521739132
16,APURIMAC,ANDAHUAYLAS,HUANCARAY,14881,58,6,1.0,1.0,1.0,1.45,0.435,1.65,1,0,0,0,0.04253,0.06,2.3076923076923075,0.0,0.0,2,1.0,0.5
17,APURIMAC,ANDAHUAYLAS,HUANCARAY,14881,77,8,1.0,1.0,0.32098765432098764,1.45,0.435,1.65,1,0,0,0,0.04253,0.06,5.365384615384615,1.0,0.0,2,1.0,1.978721804511278
18,APURIMAC,ANDAHUAYLAS,KISHUARA,14695,75,9,0.9757575757575756,0.9589041095890408,0.6666666666666666,1.42,0.215,1.65,1,0,0,0,0.072401,0.0644,0.736,0.0,0.0,1,1.0,0.8695652173913043
19,APURIMAC,ANDAHUAYLAS,KISHUARA,14696,22,4,0.6990424076607387,0.6967213114754098,0.5454545454545454,1.42,0.215,1.65,1,0,0,0,0.072401,0.0511,1.26,0.0,0.0,1,2.0,1.7644736842105264
20,APURIMAC,ANDAHUAYLAS,KISHUARA,14696,121,13,1.0,1.0,1.0,1.42,0.215,1.65,1,0,0,0,0.072401,0.075,1.56,0.0,0.0,2,2.0,0.6
21,APURIMAC,ANDAHUAYLAS,PACUCHA,14722,26,3,1.0,1.0,0.8163265306122449,1.37,0.303,1.65,1,1,1,1,0.21847800000000003,0.05,1.3166666666666669,0.0,0.0,2,2.0,1.462
22,APURIMAC,ANDAHUAYLAS,PACUCHA,14722,116,12,0.8583333333333333,0.8235294117647058,0.8215010141987829,1.37,0.303,1.65,1,1,1,1,0.21847800000000003,0.09476,1.1017283950617285,0.0,0.0,2,1.0,1.1739130434782608
23,APURIMAC,ANDAHUAYLAS,PACUCHA,14722,150,14,0.8674351585014409,0.4673768308921438,0.5114656031904288,1.37,0.303,1.65,1,1,1,1,0.21847800000000003,0.0903,1.301169590643275,0.0,0.0,1,2.0,0.8401515151515151
24,APURIMAC,ANDAHUAYLAS,SAN JERONIMO,14734,21,3,1.0,1.0,0.6644518272425249,1.34,0.303,1.65,1,0,0,0,0.166757,0.0644,0.207,1.0,0.0,1,1.0,1.3478260869565215
25,APURIMAC,ANDAHUAYLAS,SAN JERONIMO,14734,33,5,1.0,1.0,0.9090909090909092,1.34,0.303,1.65,1,1,0,0,0.166757,0.0552,0.092,0.0,0.0,2,1.0,0.4891304347826087
26,APURIMAC,ANDAHUAYLAS,SAN JERONIMO,14755,7,2,0.2256589240582501,0.21865889212827988,0.1826150474799124,1.34,0.303,1.65,1,0,0,0,0.166757,0.075,2.0,0.0,0.0,2,2.0,0.64
27,APURIMAC,ANDAHUAYLAS,SAN JERONIMO,14755,38,7,0.625,0.8771929824561403,0.7916666666666666,1.34,0.303,1.65,1,0,0,0,0.166757,0.07,1.2421052631578948,0.0,0.0,1,2.0,1.44
